AvgScore,EVpct,EVCS,CSUhighest,LA_pct,COMP,NEW,Cluster,id,UTLACode,UTLAName
0.6756053376878526,0.042879814501177504,0.009927185840930934,0.06263835918550557,0.0,0.05011520963607286,0.0,2,0,E06000006,Halton
0.33414130074247955,0.04616428420494652,0.007209038398702978,0.027270047062321123,0.0,0.0,0.022435555555555556,1,1,E06000007,Warrington
0.7697037736330468,0.021603304515296816,0.041865847956751065,0.052405206837478555,0.0,0.0,0.0,2,2,E06000008,Blackburn with Darwen
1.0,0.012416932990983787,0.019924009925983217,0.0458243112773119,0.0,0.0,0.0,2,3,E06000009,Blackpool
0.8858214477074988,0.0,0.02536803365587158,0.03288141520961574,0.0,0.0,0.0,2,4,E06000010,"Kingston upon Hull, City of"
0.24899854565866358,0.0324203991619208,0.035061668259063504,0.11850159461120478,0.27591240875912404,0.03163771496944484,0.0,1,5,E06000011,East Riding of Yorkshire
0.6503457250019137,0.01546377493687772,0.014787651040191222,0.029585698389649782,0.0,0.0,0.0,2,6,E06000012,North East Lincolnshire
0.41461485469344017,0.02010019009752024,0.033965426322198004,0.07701263290998171,0.0,0.0,0.015850666666666666,2,7,E06000013,North Lincolnshire
0.1500523052585921,0.050882743422543245,0.009868101491099875,0.013964444457871025,0.3722627737226277,0.0,0.0,1,8,E06000014,York
0.5224657464343123,0.09865802550871765,0.01557006588908187,0.022560738633951607,0.07678452933927385,0.0,0.0,2,9,E06000015,Derby
0.6386599647896308,0.03669293347373179,0.012117584384667894,0.022146669394543805,0.4869042507513955,0.0,0.02259911111111111,3,10,E06000016,Leicester
0.06467991733217668,0.07100942053141587,0.012171482144513782,0.0651507304970391,0.15766423357664233,0.0,0.0,1,11,E06000017,Rutland
0.7410762125889827,0.0365872268206502,0.000900723126599598,0.0,0.4219183715431274,0.07929165023101525,0.0,2,12,E06000018,Nottingham
0.33281453320746057,0.04932371983607954,0.016667558064681336,0.03652629918271351,0.2749957562383296,0.0,0.0,1,13,E06000019,"Herefordshire, County of"
0.4884035414487281,0.03301687057427355,0.03737803448386886,0.13725119036239414,0.0,0.0,0.0,2,14,E06000020,Telford and Wrekin
0.7312020003572066,0.01779817208930308,0.011571261696756319,0.022534599082796335,0.09335382251248558,0.0,0.0,2,15,E06000021,Stoke-on-Trent
0.15051157094379097,0.08990488314979046,0.01562265745321721,0.06469186792278864,0.12669447340980186,0.0,0.0,1,16,E06000022,Bath and North East Somerset
0.5234863368458653,0.04480217189998968,0.0071332187082722865,0.012423991838530386,0.22118363703198027,0.0,0.06731851851851851,2,17,E06000023,"Bristol, City of"
0.2546117929222055,0.06837708273252971,0.02313687638952389,0.05745959724731449,0.026874585268745855,0.0,0.0,1,18,E06000024,North Somerset
0.14834281631924068,0.5118725676920204,0.1969046103263034,0.29370245957140895,0.07883211678832117,0.0,0.0,0,19,E06000025,South Gloucestershire
0.5300181154798052,0.0046779164287114455,0.002079709922460256,0.006232060651476834,0.32249502322495033,0.0,0.08026074074074074,2,20,E06000026,Plymouth
0.5679075345087133,0.021798491015972303,0.019076170164771096,0.02454574461767214,0.0,0.0,0.0,2,21,E06000027,Torbay
0.32597657745005487,0.6797999565751484,0.29482095937632957,0.3348212621240465,0.25504508372692153,0.053750502822603345,0.0,0,22,E06000030,Swindon
0.5606868573469753,0.7121265512126023,0.353853880789354,0.2811277068069838,0.0,0.0,0.0,0,23,E06000031,Peterborough
0.511877120914449,0.01971402661197935,0.006002446721383774,0.01005173308508497,0.2728804042672656,0.015750687300570995,0.0,2,24,E06000032,Luton
0.42173347281402296,0.023974262691460274,0.024168786625209694,0.028360474147216385,0.29562043795620435,0.0,0.0,1,25,E06000033,Southend-on-Sea
0.3848136146760902,0.03698600705248946,0.021976674611023088,0.03402912900374247,0.05374917053749171,0.0,0.0,1,26,E06000034,Thurrock
0.46156201362488203,0.03421017747463896,0.019476604179415602,0.04302271509662464,0.0,0.0,0.020247703703703702,2,27,E06000035,Medway
0.11213737146939506,0.04612630385504056,0.018330798366902348,0.029859565344364663,0.0,0.0,0.02337659259259259,1,28,E06000036,Bracknell Forest
0.10476360574592403,0.086716269874614,0.012346482479665575,0.058613141114796194,0.7197715011107585,0.040718550458362146,0.0,3,29,E06000037,West Berkshire
0.3514147934580155,0.04394242129886315,0.009661830683997362,0.007245780507866081,0.1516002245929253,0.03919602001676392,0.0,1,30,E06000038,Reading
0.43678718138443096,0.9285522377683022,0.36886174056988674,0.17280452989253692,0.0,0.0,0.0,0,31,E06000039,Slough
0.06455234353073253,0.7336145379105519,0.237549777240086,0.7015675686305278,0.0,0.0,0.02133096296296296,0,32,E06000040,Windsor and Maidenhead
0.0,0.0968024796726633,0.03793175715913288,0.05529558976607199,0.0,0.0,0.0,1,33,E06000041,Wokingham
0.3095961013446279,0.5613516390823834,0.0474899931434639,0.04012931549814583,0.4737387459992171,0.0,0.20526459259259258,3,34,E06000042,Milton Keynes
0.38055264970785596,0.06042374084687685,0.0007971717431234861,0.015367274210719824,0.0,0.2825552890228846,0.03421629629629629,1,35,E06000043,Brighton and Hove
0.5371622483606767,0.4415870861384039,0.055720353852301494,0.23328289091064433,0.8489612577203818,0.040968255818051864,0.05448533333333333,3,36,E06000044,Portsmouth
0.5365754088740337,0.017251501219905804,0.004886696460727901,0.005861568965033119,0.7640651319483436,0.0,0.0,3,37,E06000045,Southampton
0.445181537519455,0.03300310259785341,0.020781244033579963,0.030462356653300906,0.0,0.0,0.016,2,38,E06000046,Isle of Wight
