id,ONSCode,local_authority_name,EVpct,EVCS,CSUtotal,CSUhighest,OSSeMiles,LA_pct,HHI,OSS,COMP,NEW
0,E06000006,Halton,1.3882732856328752,24.36111111111111,14.11281940794831,21.782829955746312,193848855.26400003,0.0,6543.209876543209,0.32,74250.0,0.0
1,E06000007,Warrington,1.4462230979906538,18.823529411764707,6.255049448485569,10.57730488732146,465270935.68,0.0,2902.42214532872,0.32,0.0,94650.0
2,E06000008,Blackburn with Darwen,1.0128794252799171,89.42857142857143,9.63288968536145,18.54072315784625,137137808.064,0.0,1836.734693877551,0.32,0.0,0.0
3,E06000009,Blackpool,0.850798920937954,44.72727272727273,10.20750692883417,16.45573844284782,112588664.12799999,0.0,1074.3801652892562,0.32,0.0,0.0
4,E06000010,"Kingston upon Hull, City of",0.6317197386696847,55.81818181818182,5.15705521077279,12.35512018774268,264691464.83200002,0.0,1900.826446280992,0.32,0.0,0.0
5,E06000011,East Riding of Yorkshire,1.203731727649723,75.56666666666666,16.64631125851915,39.48163567725697,592994958.72,23.33333333333333,933.3333333333334,0.32,46874.0,0.0
6,E06000012,North East Lincolnshire,0.9045561283330322,34.26315789473684,5.910166817673971,11.31095847270427,195207343.26400003,0.0,1191.1357340720222,0.32,0.0,0.0
7,E06000013,North Lincolnshire,0.9863591019648722,73.33333333333333,10.8746086404699,26.33694280113803,274262471.77599996,0.0,833.3333333333334,0.32,0.0,66870.0
8,E06000014,York,1.5294736227142607,24.24074074074074,3.0337209883717398,6.36177254822152,254944155.10400003,31.48148148148148,2379.9725651577505,0.32,0.0,0.0
9,E06000015,Derby,2.372400756143667,35.857142857142854,4.9560237380132595,9.08528362644689,306068223.87200004,6.493506493506493,2669.92747512228,0.32,0.0,0.0
10,E06000016,Leicester,1.2791145394861354,28.823529411764707,5.96878347996027,8.95409661288267,252308507.58400002,41.1764705882353,1985.2941176470588,0.32,0.0,95340.0
11,E06000017,Rutland,1.8845803117807982,28.933333333333334,14.928138264665868,22.57880912530713,108130798.784,13.333333333333334,2088.8888888888887,0.32,0.0,0.0
12,E06000018,Nottingham,1.2772494954262017,5.971830985915493,1.0876770863004002,1.9375033918563802,272827714.208,35.68075117370892,4094.646124005378,0.32,117477.41,0.0
13,E06000019,"Herefordshire, County of",1.5019668613660746,38.093023255813954,6.98246749363835,13.50990638703303,299199912.672,23.25581395348837,2320.1730665224445,0.32,0.0,0.0
14,E06000020,Telford and Wrekin,1.214255620253438,80.28571428571429,24.6098886207638,45.42195492350851,261255804.736,0.0,1428.571428571429,0.32,0.0,0.0
15,E06000021,Stoke-on-Trent,0.9457432572008514,27.710526315789473,5.0674379504664,9.07700199302521,247559829.44,7.894736842105263,1260.387811634349,0.32,0.0,0.0
16,E06000022,Bath and North East Somerset,2.2179639663450947,35.964285714285715,11.508058510747949,22.4334305146226,201130368.608,10.714285714285714,484.6938775510204,0.32,0.0,0.0
17,E06000023,"Bristol, City of",1.4221905570931412,18.66906474820144,2.97693455177662,5.87372040757591,389860840.32,18.705035971223023,1692.9765540085918,0.32,0.0,284000.0
18,E06000024,North Somerset,1.8381364425215712,51.27272727272727,11.25404986603811,20.14207462312854,434427171.84000003,2.272727272727273,847.1074380165289,0.32,0.0,0.0
19,E06000025,South Gloucestershire,9.662985642814851,405.28333333333336,39.67515128007288,94.98944949329616,667822120.0,6.666666666666667,2127.777777777778,0.32,0.0,0.0
20,E06000026,Plymouth,0.7142549433507086,8.373737373737374,1.88218749518574,3.9119688855685,252586154.752,27.272727272727277,2437.5063769003164,0.32,0.0,338600.0
21,E06000027,Torbay,1.0163232144176084,43.0,4.27528552804722,9.7141808787128,117430328.12799999,0.0,703.125,0.32,0.0,0.0
22,E06000030,Swindon,12.625826391305237,604.7647058823529,57.737916184451436,108.01686712019385,347738446.72,21.568627450980397,2256.8242983467894,0.32,79636.0,0.0
23,E06000031,Peterborough,13.196183332414098,725.030303030303,43.61768507187506,91.00546781952428,334062272.96,0.0,560.1469237832874,0.32,0.0,0.0
24,E06000032,Luton,0.9795457946291883,16.365384615384617,3.02484790878709,5.12213223910638,151295754.816,23.07692307692308,4149.408284023669,0.32,23336.0,0.0
25,E06000033,Southend-on-Sea,1.0547116215882426,53.375,4.84428298803437,10.92277820231954,118190573.728,25.0,1640.625,0.32,0.0,0.0
26,E06000034,Thurrock,1.2842854073667376,48.90909090909091,6.27382360263406,12.71874329892399,272760355.392,4.545454545454546,1942.1487603305784,0.32,0.0,0.0
27,E06000035,Medway,1.235309829059829,43.81578947368421,8.928526910295,15.56812593465251,240421804.352,0.0,5263.1578947368425,0.32,0.0,85420.0
28,E06000036,Bracknell Forest,1.4455529885517366,41.48148148148148,6.89364048344306,11.397726057648171,132366486.17600001,0.0,2784.636488340192,0.32,0.0,98620.0
29,E06000037,West Berkshire,2.161705404798323,29.28985507246377,8.82614674663708,20.507544840637753,501823957.12,60.869565217391305,4215.500945179584,0.32,60328.04,0.0
30,E06000038,Reading,1.4070214763880895,23.82051282051282,2.49673617455116,4.233139520558559,92868138.144,12.82051282051282,716.6337935568705,0.32,58072.28,0.0
31,E06000039,Slough,17.014707799518828,755.6052631578947,30.352414283204087,56.68610108868787,139124758.464,0.0,2908.5872576177285,0.32,0.0,0.0
32,E06000040,Windsor and Maidenhead,13.575308399594254,488.0882352941176,103.23064663038677,224.21084655006624,310760682.912,0.0,1228.3737024221457,0.32,0.0,89990.0
33,E06000041,Wokingham,2.3396622800063422,81.41379310344827,8.74846546018998,19.45646542597869,275238323.296,0.0,1510.1070154577883,0.32,0.0,0.0
