ONSCode,local_authority_name,year,cars_and_taxis,ONSGeo_x,DATE,EVCOUNT,filter_id_142,VEHCOUNT,filter_id_105,EVshare_32,EVCOUNT_31,filter_id_142_31,VEHCOUNT_31,filter_id_105_31,EVshare_31,EVCOUNT_7,filter_id_142_7,VEHCOUNT_7,filter_id_105_7,EVshare_7,emiles,emilespct,Dem_MWh,CTYCODE_x,CS_count,Highest_kW,TOTALOUTPUTKW,CTYCODE_y,LA_pct,HHI,OSS,CSUtotal,CSUhighest,id,ONSGeo_y,COMP,NEW
E06000018,Nottingham,2019,852586606.9,   Nottingham,2022-03-31,375.0,32,93738.0,30,0.400051206554439,184.0,31,5851.0,29,3.144761579217228,713.0,7,99589.0,1,0.7159425237727058,7913408.40944296,0.9281647571518943,2500.6370573839754,E06000018,213,4714.7,8398.4,E06000018,35.68075117370892,4094.646124005378,0.32,0.010876770863004023,0.01937503391856385,12,Nottingham,117477.41,0.0
E06000019,"Herefordshire, County of",2019,934999727.1,"   Herefordshire, County of",2022-03-31,582.0,32,104940.0,30,0.5546026300743282,114.0,31,4117.0,29,2.769006558173427,942.0,7,109057.0,1,0.8637684880383653,10667829.304271968,1.1409446436267274,3371.034060149942,E06000019,43,911.5,1763.6,E06000019,23.25581395348837,2320.1730665224445,0.32,0.06982467493638359,0.13509906387033033,13,"Herefordshire, County of",0.0,0.0
E06000020,Telford and Wrekin,2019,816424389.8,   Telford and Wrekin,2022-03-31,345.0,32,86677.0,30,0.3980294657175491,95.0,31,5890.0,29,1.6129032258064515,684.0,7,92567.0,1,0.7389242386595655,7649430.934064407,0.9369429710371947,2417.2201751643524,E06000020,14,194.4,358.8,E06000020,0.0,1428.5714285714287,0.32,0.24609888620763806,0.4542195492350851,14,Telford and Wrekin,0.0,0.0
E06000021,Stoke-on-Trent,2019,773624467.0,   Stoke-on-Trent,2022-03-31,288.0,32,104987.0,30,0.2743196776743787,154.0,31,6354.0,29,2.423670129052565,611.0,7,111341.0,1,0.5487646060301237,5386417.935062016,0.6962574433497094,1702.1080674795971,E06000021,38,685.0,1227.0,E06000021,7.894736842105263,1260.387811634349,0.32,0.050674379504664,0.09077001993025215,15,Stoke-on-Trent,0.0,0.0
E06000022,Bath and North East Somerset,2019,628532401.9,   Bath and North East Somerset,2022-03-31,748.0,32,87800.0,30,0.8519362186788155,94.0,31,3004.0,29,3.129161118508655,1172.0,7,90804.0,1,1.290692039998238,10747015.30591139,1.7098585965375974,3396.056836667999,E06000022,56,553.0,1078.0,E06000022,10.714285714285714,484.6938775510204,0.32,0.11508058510747958,0.22433430514622604,16,Bath and North East Somerset,0.0,0.0
E06000023,"Bristol, City of",2019,1218315126.0,"   Bristol, City of",2022-03-31,948.0,32,175448.0,30,0.5403310382563494,243.0,31,7017.0,29,3.463018383924754,1404.0,7,182465.0,1,0.7694626366700463,12719446.28052624,1.0440194009810102,4019.3450246462917,E06000023,139,2499.7,4932.1,E06000023,18.705035971223023,1692.9765540085918,0.32,0.02976934551776627,0.05873720407575911,17,"Bristol, City of",0.0,284000.0
E06000024,North Somerset,2019,1357584912.0,   North Somerset,2022-03-31,788.0,32,117919.0,30,0.6682553278097678,151.0,31,4814.0,29,3.136684669713336,1317.0,7,122733.0,1,1.073061034929481,19089236.909243967,1.406117344153569,6032.198863321094,E06000024,44,1094.0,1958.0,E06000024,2.272727272727273,847.1074380165289,0.32,0.11254049866038113,0.20142074623128542,18,North Somerset,0.0,0.0
E06000025,South Gloucestershire,2019,2086944125.0,   South Gloucestershire,2022-03-31,873.0,32,153402.0,30,0.5690929714084563,6021.0,31,98249.0,29,6.128306649431546,17423.0,7,251651.0,1,6.923477355543987,155526436.07504043,7.4523526630134596,49146.35379971278,E06000025,60,1890.0,4525.0,E06000025,6.666666666666667,2127.777777777778,0.32,0.3967515128007288,0.9498944949329617,19,South Gloucestershire,0.0,0.0
E06000026,Plymouth,2019,789331733.6,   Plymouth,2022-03-31,287.0,32,111412.0,30,0.25760241266649914,48.0,31,4653.0,29,1.0315925209542232,494.0,7,116065.0,1,0.4256235729978891,4364940.2195019,0.5529918580105975,1379.3211093626003,E06000026,99,1288.0,2677.0,E06000026,27.272727272727273,2437.5063769003164,0.32,0.018821874951857446,0.039119688855685085,20,Plymouth,0.0,338600.0
E06000027,Torbay,2019,366969775.4,   Torbay,2022-03-31,252.0,32,65104.0,30,0.3870729909068567,61.0,31,2591.0,29,2.3543033577769203,375.0,7,67695.0,1,0.5539552404165743,2751826.0888736537,0.7498781298471082,869.5770440840746,E06000027,16,327.0,743.0,E06000027,0.0,703.125,0.32,0.042752855280472214,0.097141808787128,21,Torbay,0.0,0.0
