Cluster_id,AvgScore,EVpct,EVCS,CSUhighest,LA_pct,COMP,NEW,Counts
0,17.85571428571429,14.300706796007262,717.8959772425718,133.71154820091033,5.870348139255704,25295.857142857145,12855.714285714319,7
1,16.130574074074076,1.9786100035638858,52.55640796173205,19.62078981678436,11.016901675561131,51329.56925925927,182890.8148148148,54
2,29.61974035087719,1.4692928830859866,37.0769898095544,14.172008353610877,4.507038284174097,7189.472105263121,96754.56140350876,57
3,22.58425,3.93664506737351,23.097963066940846,15.209224245618513,59.21760651200442,160742.77857142853,421692.1428571428,28
